CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
000,Male,12,145,98
001,Female,89,13,89
002,Male,56,58,7
003,Female,1,107,35
004,Female,68,139,35
005,Female,26,119,54
006,Male,70,116,79
007,Female,98,189,29
008,Female,61,59,45
009,Male,61,103,70
010,Female,33,10,43
011,Male,44,23,24
012,Male,50,79,22
013,Female,87,172,59
014,Male,89,166,51
015,Male,76,122,53
016,Male,75,144,35
017,Female,31,61,52
018,Male,3,75,45
019,Male,97,141,96
020,Male,41,154,58
021,Male,76,4,6
022,Female,54,127,24
023,Male,80,135,96
024,Male,90,97,5
025,Female,57,104,10
026,Male,33,164,85
027,Male,91,74,66
028,Female,82,195,41
029,Male,16,12,32
030,Male,4,138,51
031,Male,49,83,30
032,Female,83,12,99
033,Male,88,184,53
034,Male,47,137,39
035,Female,44,30,30
036,Female,14,45,92
037,Female,86,60,16
038,Male,72,98,91
039,Male,79,106,78
040,Male,57,111,93
041,Male,38,194,55
042,Male,52,180,4
043,Female,72,164,74
044,Male,62,193,31
045,Male,62,148,89
046,Female,57,113,62
047,Male,25,42,40
048,Female,7,29,37
049,Male,87,27,81
050,Female,30,62,9
051,Female,91,18,19
052,Female,68,120,35
053,Female,12,52,34
054,Female,18,70,89
055,Female,15,130,57
056,Male,61,92,77
057,Female,88,82,26
058,Female,97,192,41
059,Male,18,100,2
060,Female,37,45,81
061,Female,29,105,21
062,Female,67,18,77
063,Male,90,169,82
064,Female,53,175,97
065,Male,39,198,40
066,Female,76,126,91
067,Female,25,7,45
068,Female,10,166,35
069,Male,83,140,63
070,Female,70,117,89
071,Male,27,60,44
072,Male,55,37,21
073,Female,85,84,54
074,Female,46,197,18
075,Male,5,136,31
076,Male,25,184,43
077,Female,94,99,70
078,Male,53,41,43
079,Female,59,104,52
080,Male,83,151,75
081,Female,34,178,9
082,Male,32,197,36
083,Female,4,9,33
084,Female,93,2,24
085,Male,72,11,52
086,Male,4,121,20
087,Female,73,121,51
088,Male,59,197,49
089,Female,30,186,36
090,Female,29,30,50
091,Female,36,190,14
092,Male,10,151,87
093,Female,80,3,30
094,Female,71,81,86
095,Female,39,82,62
096,Female,53,95,85
097,Female,38,102,41
098,Female,18,138,76
099,Male,38,125,89
100,Female,83,182,66
101,Male,60,36,35
102,Male,92,98,25
103,Male,55,58,52
104,Male,27,43,88
105,Male,23,117,41
106,Male,39,12,88
107,Male,39,33,86
108,Female,30,164,84
109,Male,10,14,36
110,Female,32,76,71
111,Female,33,153,90
112,Female,56,112,86
113,Female,43,32,46
114,Female,25,176,51
115,Male,45,108,63
116,Female,89,43,58
117,Male,33,39,24
118,Female,40,35,87
119,Male,66,3,79
120,Male,40,48,68
121,Female,27,104,1
122,Male,14,145,30
123,Female,70,172,48
124,Female,70,99,17
125,Female,40,145,80
126,Female,88,174,82
127,Female,20,18,88
128,Female,56,31,39
129,Male,51,59,87
130,Male,63,35,91
131,Male,10,177,20
132,Male,82,69,48
133,Female,8,66,55
134,Female,90,96,4
135,Male,27,60,89
136,Female,44,197,56
137,Male,71,130,21
138,Female,87,104,15
139,Female,27,47,85
140,Female,49,44,15
141,Male,21,26,8
142,Female,91,71,98
143,Male,57,104,69
144,Female,6,131,60
145,Male,80,26,32
146,Female,4,152,13
147,Male,78,15,14
148,Female,3,70,89
149,Male,37,64,82
150,Male,33,20,67
151,Male,15,141,31
152,Female,86,154,100
153,Male,51,16,89
154,Female,22,18,73
155,Female,28,168,22
156,Female,65,83,96
157,Male,92,169,100
158,Male,6,128,2
159,Female,18,156,59
160,Male,96,61,21
161,Female,35,193,5
162,Male,44,80,92
163,Male,38,97,14
164,Male,53,54,74
165,Female,60,108,6
166,Male,32,107,99
167,Male,56,88,61
168,Female,4,131,99
169,Male,47,34,18
170,Female,81,138,19
171,Female,60,40,89
172,Female,48,39,14
173,Female,83,171,1
174,Male,35,142,91
175,Male,42,177,8
176,Male,67,80,76
177,Male,67,54,17
178,Male,21,181,43
179,Male,53,156,15
180,Male,91,98,98
181,Male,91,68,97
182,Male,1,66,89
183,Male,16,194,31
184,Female,71,191,47
185,Female,17,185,35
186,Male,15,133,41
187,Female,73,99,30
188,Male,19,32,18
189,Male,78,38,46
190,Female,55,73,96
191,Male,25,182,65
192,Female,9,85,74
193,Male,16,159,43
194,Female,76,36,13
195,Female,61,181,35
196,Female,2,72,5
197,Female,82,69,96
198,Male,94,24,40
199,Female,92,116,54
200,Male,47,150,47
201,Female,56,98,96
202,Male,8,25,38
203,Male,42,151,73
204,Female,99,95,32
205,Female,72,16,75
206,Male,99,30,72
